Date,Open,High,Low,Close,Adj Close,Volume
2016-10-12,17500.0,18800.0,15100.0,15300.0,14856.521484,7190115
2016-10-13,15450.0,16250.0,14550.0,14850.0,14419.56543,1344700
2016-10-14,15100.0,15200.0,14300.0,14450.0,14031.15918,759219
2016-10-17,14500.0,15150.0,13550.0,14550.0,14128.260741999999,1105960
2016-10-18,14500.0,14850.0,13900.0,13900.0,13497.101563,426078
2016-10-19,14050.0,14250.0,13450.0,13450.0,13060.145508,383741
2016-10-20,13600.0,14250.0,13500.0,14000.0,13594.203125,608011
2016-10-21,14250.0,15350.0,13950.0,14550.0,14128.260741999999,1521089
2016-10-24,14550.0,15350.0,14500.0,14750.0,14322.463866999999,764245
2016-10-25,15000.0,15250.0,14100.0,14100.0,13691.304688,592305
2016-10-26,14200.0,14400.0,12850.0,13000.0,12623.188477,585415
2016-10-27,13050.0,13500.0,12850.0,13050.0,12671.739258,273814
2016-10-28,13000.0,13250.0,11500.0,11500.0,11166.666992,451340
2016-10-31,11600.0,12350.0,10950.0,11100.0,10778.260742,679300
2016-11-01,11100.0,12750.0,11050.0,11750.0,11409.419922,1124793
2016-11-02,11650.0,11750.0,11200.0,11250.0,10923.913086,178996
2016-11-03,11150.0,11750.0,11150.0,11500.0,11166.666992,172763
2016-11-04,11550.0,12750.0,11500.0,12300.0,11943.478516,353868
2016-11-07,12250.0,13100.0,12200.0,12900.0,12526.086914,313880
2016-11-08,12950.0,13050.0,12550.0,12950.0,12574.637695,163904
2016-11-09,12950.0,13100.0,11200.0,12350.0,11992.029297,472892
2016-11-10,12800.0,12900.0,12300.0,12300.0,11943.478516,147175
2016-11-11,12350.0,13200.0,12250.0,12950.0,12574.637695,352806
2016-11-14,13000.0,13050.0,12550.0,12600.0,12234.782227,128518
2016-11-15,12650.0,13150.0,12400.0,12950.0,12574.637695,189287
2016-11-16,13000.0,13200.0,12800.0,12900.0,12526.086914,105340
2016-11-17,13000.0,13150.0,12550.0,12700.0,12331.883789,112514
2016-11-18,12800.0,12950.0,12200.0,12350.0,11992.029297,113059
2016-11-21,12300.0,12350.0,11700.0,11800.0,11457.970703,115624
2016-11-22,12050.0,12150.0,11650.0,11800.0,11457.970703,76041
2016-11-23,11800.0,12150.0,11000.0,11200.0,10875.362305,186220
2016-11-24,11250.0,12050.0,10800.0,11600.0,11263.768555,382785
2016-11-25,11650.0,12400.0,11650.0,11950.0,11603.623047,155261
2016-11-28,12000.0,12300.0,11800.0,11900.0,11555.072266,71871
2016-11-29,11900.0,12100.0,11450.0,11750.0,11409.419922,84757
2016-11-30,11800.0,11950.0,11600.0,11800.0,11457.970703,45688
2016-12-01,11800.0,11800.0,11400.0,11500.0,11166.666992,59564
2016-12-02,11400.0,11600.0,11100.0,11450.0,11118.116211,75875
2016-12-05,11250.0,11600.0,11100.0,11200.0,10875.362305,70229
2016-12-06,11650.0,11750.0,11350.0,11450.0,11118.116211,73327
2016-12-07,11400.0,11650.0,11250.0,11450.0,11118.116211,39609
2016-12-08,11600.0,12200.0,11550.0,12150.0,11797.826172,148586
2016-12-09,12050.0,12200.0,11700.0,12150.0,11797.826172,100606
2016-12-12,12300.0,12350.0,11850.0,11950.0,11603.623047,137705
2016-12-13,11900.0,12450.0,11750.0,12350.0,11992.029297,139371
2016-12-14,12550.0,13450.0,12550.0,13200.0,12817.391602,562836
