Date,Open,High,Low,Close,Adj Close,Volume
2017-04-07,693.0,705.0,678.0,695.0,695.0,717603
2017-10-19,650.0,767.0,582.0,582.0,582.0,17781876
2017-10-20,583.0,593.0,548.0,555.0,555.0,2265907
2017-10-23,560.0,598.0,548.0,550.0,550.0,1255624
2017-10-24,561.0,626.0,548.0,569.0,569.0,3939888
2017-10-25,563.0,576.0,560.0,566.0,566.0,575801
2017-10-26,575.0,612.0,561.0,585.0,585.0,3092564
2017-10-27,585.0,589.0,573.0,589.0,589.0,513921
2017-10-30,590.0,648.0,586.0,610.0,610.0,4500564
2017-10-31,597.0,615.0,597.0,607.0,607.0,418440
2017-11-01,604.0,615.0,604.0,607.0,607.0,323816
2017-11-02,605.0,620.0,605.0,610.0,610.0,278543
2017-11-03,622.0,637.0,609.0,611.0,611.0,828205
2017-11-06,602.0,611.0,594.0,599.0,599.0,318003
2017-11-07,603.0,612.0,599.0,600.0,600.0,125404
2017-11-08,606.0,612.0,596.0,604.0,604.0,295849
2017-11-09,607.0,612.0,591.0,602.0,602.0,116401
2017-11-10,604.0,604.0,588.0,599.0,599.0,181333
2017-11-13,595.0,607.0,585.0,599.0,599.0,173037
2017-11-14,603.0,603.0,593.0,602.0,602.0,264944
2017-11-15,609.0,609.0,593.0,595.0,595.0,297081
2017-11-16,599.0,606.0,587.0,591.0,591.0,367281
2017-11-17,592.0,597.0,585.0,590.0,590.0,152626
2017-11-20,585.0,596.0,575.0,579.0,579.0,430902
2017-11-21,580.0,580.0,560.0,560.0,560.0,319009
2017-11-22,560.0,575.0,550.0,566.0,566.0,263243
2017-11-23,575.0,596.0,567.0,596.0,596.0,272519
2017-11-24,597.0,605.0,580.0,596.0,596.0,148819
2017-11-27,586.0,598.0,585.0,595.0,595.0,104681
2017-11-28,595.0,596.0,580.0,591.0,591.0,260068
2017-11-29,600.0,605.0,591.0,604.0,604.0,763235
2017-11-30,609.0,619.0,595.0,596.0,596.0,272641
2017-12-01,605.0,620.0,597.0,615.0,615.0,618385
2017-12-04,605.0,621.0,604.0,612.0,612.0,309483
2017-12-05,600.0,618.0,600.0,600.0,600.0,144025
2017-12-06,600.0,615.0,598.0,607.0,607.0,268220
2017-12-07,619.0,619.0,590.0,605.0,605.0,355691
2017-12-08,600.0,610.0,590.0,609.0,609.0,349896
2017-12-11,615.0,758.0,600.0,625.0,625.0,3437229
2017-12-12,620.0,634.0,610.0,632.0,632.0,438382
2017-12-13,619.0,655.0,619.0,636.0,636.0,564225
2017-12-14,637.0,649.0,623.0,635.0,635.0,358685
2017-12-15,647.0,647.0,617.0,624.0,624.0,559437
2017-12-18,617.0,645.0,601.0,610.0,610.0,761315
2017-12-19,605.0,617.0,595.0,599.0,599.0,530535
2017-12-21,599.0,629.0,597.0,611.0,611.0,1340000
2017-12-22,610.0,735.0,597.0,643.0,643.0,30153867
2017-12-26,643.0,674.0,627.0,627.0,627.0,4088764
2017-12-27,637.0,643.0,620.0,631.0,631.0,2697636
2017-12-28,640.0,655.0,609.0,615.0,615.0,2727373
2018-01-02,615.0,625.0,598.0,622.0,622.0,2468200
2018-01-03,627.0,629.0,608.0,618.0,618.0,1828754
2018-01-04,619.0,657.0,618.0,626.0,626.0,5513832
2018-01-05,633.0,653.0,623.0,645.0,645.0,3463437
2018-01-08,645.0,650.0,630.0,635.0,635.0,1379430
2018-01-09,635.0,651.0,629.0,630.0,630.0,1440928
2018-01-10,632.0,634.0,615.0,615.0,615.0,985197
2018-01-11,623.0,623.0,575.0,602.0,602.0,1391564
2018-01-12,603.0,607.0,580.0,587.0,587.0,937971
2018-01-15,587.0,600.0,576.0,579.0,579.0,532133
2018-01-16,585.0,696.0,574.0,621.0,621.0,16575213
2018-01-17,650.0,745.0,647.0,681.0,681.0,46472181
2018-01-18,690.0,690.0,644.0,655.0,655.0,7552229
2018-01-19,653.0,666.0,630.0,640.0,640.0,4570421
2018-01-22,640.0,640.0,615.0,620.0,620.0,2780579
2018-01-23,621.0,636.0,620.0,634.0,634.0,2241408
2018-01-24,627.0,634.0,618.0,624.0,624.0,1323218
2018-01-25,628.0,633.0,620.0,624.0,624.0,1387561
2018-01-26,623.0,670.0,620.0,637.0,637.0,6494405
2018-01-29,647.0,690.0,634.0,642.0,642.0,3969204
2018-01-30,648.0,662.0,637.0,648.0,648.0,2461680
2018-01-31,651.0,658.0,640.0,645.0,645.0,1817296
2018-04-12,500.0,500.0,486.0,492.0,492.0,332430
