Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,6570.0,6570.0,5560.0,5950.0,5950.0,3687281
2016-12-14,6790.0,8080.0,6750.0,7270.0,7270.0,8670461
2016-12-15,7160.0,7740.0,7090.0,7090.0,7090.0,3403790
2016-12-16,7300.0,7410.0,6980.0,7010.0,7010.0,875369
2016-12-19,7010.0,7790.0,6860.0,7440.0,7440.0,2801793
2016-12-20,7460.0,7750.0,6930.0,7080.0,7080.0,1265017
2016-12-21,7050.0,7320.0,7030.0,7030.0,7030.0,695579
2016-12-22,7030.0,7440.0,6980.0,7270.0,7270.0,867369
2016-12-23,7270.0,8250.0,7230.0,7750.0,7750.0,3349802
2016-12-26,7750.0,8690.0,7670.0,8240.0,8240.0,3207762
2016-12-27,8300.0,8760.0,8200.0,8300.0,8300.0,1003410
2016-12-28,8390.0,8700.0,8200.0,8680.0,8680.0,724872
2016-12-29,8680.0,9600.0,8540.0,9160.0,9160.0,1444006
2017-01-02,9160.0,10100.0,9160.0,9870.0,9870.0,1372209
2017-01-03,10100.0,11350.0,9930.0,10900.0,10900.0,1645553
2017-01-04,11000.0,11000.0,10200.0,10200.0,10200.0,1533690
2017-01-05,10200.0,10900.0,9800.0,10800.0,10800.0,1250244
2017-01-06,10700.0,11500.0,10550.0,10800.0,10800.0,833698
2017-01-09,10800.0,11200.0,10500.0,10700.0,10700.0,484723
2017-01-10,10700.0,11500.0,10600.0,11400.0,11400.0,1041659
2017-01-11,11450.0,11700.0,11050.0,11200.0,11200.0,471199
2017-01-12,11200.0,11350.0,10800.0,10800.0,10800.0,574224
2017-01-13,10800.0,11050.0,10550.0,10700.0,10700.0,408860
2017-01-16,10700.0,10700.0,9970.0,10100.0,10100.0,513106
2017-01-17,9930.0,10300.0,9810.0,9880.0,9880.0,376782
2017-01-18,9700.0,10200.0,9700.0,10050.0,10050.0,251090
2017-01-19,10200.0,10550.0,9980.0,9990.0,9990.0,342987
2017-01-20,10100.0,10550.0,9750.0,10550.0,10550.0,480167
2017-01-23,10500.0,10750.0,10300.0,10400.0,10400.0,362804
2017-01-24,10350.0,10400.0,10000.0,10200.0,10200.0,406886
2017-01-25,10400.0,10600.0,10100.0,10400.0,10400.0,371847
2017-01-26,10450.0,10850.0,10400.0,10500.0,10500.0,678171
2017-01-31,10500.0,10650.0,10300.0,10500.0,10500.0,296109
2017-02-01,10650.0,11600.0,10650.0,11100.0,11100.0,2041332
2017-02-02,10950.0,11100.0,10600.0,10600.0,10600.0,457496
2017-02-03,10600.0,10700.0,10000.0,10300.0,10300.0,414997
2017-02-06,10500.0,10500.0,10000.0,10050.0,10050.0,201429
2017-02-07,10100.0,10200.0,9570.0,9700.0,9700.0,302203
2017-02-08,9900.0,10250.0,9830.0,10250.0,10250.0,212197
2017-02-09,10300.0,10400.0,9990.0,10050.0,10050.0,298171
2017-02-10,10000.0,10300.0,9710.0,9710.0,9710.0,226129
2017-02-13,9710.0,9710.0,9130.0,9260.0,9260.0,284858
2017-02-14,9260.0,9320.0,8990.0,9160.0,9160.0,163669
2017-02-15,9180.0,9350.0,9060.0,9300.0,9300.0,110031
2017-02-16,9380.0,9460.0,9110.0,9260.0,9260.0,150891
2017-02-17,9470.0,9480.0,9180.0,9340.0,9340.0,147540
2017-02-20,9380.0,9380.0,9160.0,9260.0,9260.0,126497
2017-02-21,9260.0,9260.0,9000.0,9030.0,9030.0,173210
2017-02-23,9040.0,9170.0,8550.0,8730.0,8730.0,237102
2017-02-24,8730.0,8730.0,8090.0,8150.0,8150.0,327667
2017-02-27,8190.0,8270.0,7930.0,8010.0,8010.0,152468
2017-02-28,8010.0,8940.0,8010.0,8440.0,8440.0,699958
2017-03-02,8440.0,8480.0,8150.0,8150.0,8150.0,100224
2017-03-03,8290.0,8290.0,7850.0,8050.0,8050.0,163325
2017-03-06,7910.0,8320.0,7900.0,8300.0,8300.0,94048
2017-03-08,8530.0,9780.0,8440.0,9300.0,9300.0,2281599
2017-03-09,9310.0,9400.0,8980.0,9050.0,9050.0,557783
2017-03-10,9140.0,9370.0,8850.0,9280.0,9280.0,463157
2017-03-13,9200.0,9230.0,8950.0,8970.0,8970.0,327304
2017-03-14,9050.0,10800.0,9050.0,9650.0,9650.0,3258353
2017-03-15,9730.0,9760.0,9380.0,9420.0,9420.0,386191
2017-03-16,9550.0,9740.0,9060.0,9250.0,9250.0,326196
2017-03-17,9250.0,9630.0,9220.0,9420.0,9420.0,289322
2017-03-20,9350.0,9400.0,8950.0,9150.0,9150.0,145380
2017-03-21,9190.0,9190.0,8970.0,9000.0,9000.0,120820
2017-03-22,8840.0,9260.0,8820.0,9070.0,9070.0,225512
2017-03-23,9050.0,9160.0,8830.0,8850.0,8850.0,110077
2017-03-27,9000.0,9100.0,8860.0,8880.0,8880.0,105706
2017-03-28,8900.0,9020.0,8830.0,8840.0,8840.0,100535
2017-03-29,8760.0,9460.0,8760.0,9280.0,9280.0,373105
2017-03-30,9290.0,9390.0,9130.0,9250.0,9250.0,80997
2017-03-31,9260.0,9650.0,8950.0,8950.0,8950.0,347788
2017-04-03,8910.0,9240.0,8900.0,9210.0,9210.0,178861
2017-04-04,9220.0,9520.0,9140.0,9400.0,9400.0,214353
2017-04-05,9500.0,9740.0,9430.0,9530.0,9530.0,256510
2017-04-06,9580.0,9600.0,9390.0,9570.0,9570.0,176718
2017-04-11,9350.0,10200.0,9350.0,10050.0,10050.0,1284667
2017-04-12,10300.0,10400.0,9920.0,10150.0,10150.0,637101
2017-04-13,10200.0,10600.0,9970.0,10400.0,10400.0,576613
2017-04-17,10100.0,10500.0,10000.0,10500.0,10500.0,324914
2017-04-20,11150.0,11550.0,11000.0,11200.0,11200.0,658758
2017-04-21,11350.0,11650.0,11150.0,11600.0,11600.0,473155
2017-04-24,11650.0,11650.0,10800.0,10900.0,10900.0,781251
2017-04-25,11000.0,11250.0,10800.0,10900.0,10900.0,316298
2017-04-26,11050.0,11300.0,10750.0,10900.0,10900.0,305294
2017-04-27,10900.0,11000.0,10650.0,10750.0,10750.0,179098
2017-04-28,10750.0,11050.0,10700.0,10950.0,10950.0,250878
2017-05-02,10950.0,10950.0,10550.0,10750.0,10750.0,156256
2017-05-04,10750.0,11050.0,10650.0,10950.0,10950.0,132558
2017-05-08,10950.0,11050.0,10700.0,11000.0,11000.0,178573
2017-05-10,11000.0,11050.0,10650.0,10750.0,10750.0,155398
2017-05-11,10750.0,10800.0,10400.0,10500.0,10500.0,246888
2017-05-12,10550.0,10550.0,9860.0,10200.0,10200.0,500286
2017-05-15,10100.0,10250.0,9950.0,10200.0,10200.0,133705
2017-05-16,10200.0,10200.0,9720.0,9840.0,9840.0,315995
2017-05-17,9810.0,10150.0,9810.0,10100.0,10100.0,220814
2017-05-18,9970.0,10050.0,9830.0,9950.0,9950.0,150435
2017-05-19,9960.0,10000.0,9810.0,9810.0,9810.0,158733
2017-05-22,9820.0,10250.0,9820.0,10100.0,10100.0,156018
2017-05-23,10000.0,11200.0,10000.0,10900.0,10900.0,827584
2017-05-24,10850.0,11100.0,10750.0,10950.0,10950.0,184399
2017-05-25,11050.0,11100.0,10500.0,10650.0,10650.0,219275
2017-05-26,10650.0,10750.0,10000.0,10350.0,10350.0,447942
2017-05-29,10500.0,10650.0,10250.0,10650.0,10650.0,160002
2017-05-30,10800.0,12000.0,10800.0,12000.0,12000.0,1359349
2017-05-31,12000.0,12000.0,11550.0,11600.0,11600.0,503602
2017-06-01,11600.0,12000.0,11350.0,11900.0,11900.0,489689
2017-06-02,11900.0,12150.0,11700.0,11700.0,11700.0,265999
2017-06-05,11800.0,12200.0,11500.0,12100.0,12100.0,290887
2017-06-07,12100.0,12150.0,11550.0,12000.0,12000.0,306438
